Theta [deg],dB(GainPhi) [] - Freq='60GHz' Phi='0deg',dB(GainPhi) [] - Freq='60GHz' Phi='90deg',dB(GainTheta) [] - Freq='60GHz' Phi='0deg',dB(GainTheta) [] - Freq='60GHz' Phi='90deg'
169,-48.30008541,-11.50894505,-12.26808488,-28.6763794
170,-48.32886439,-11.31815863,-12.01838944,-29.34424982
171,-48.38370829,-11.14642213,-11.7806992,-30.10689718
172,-48.46481474,-10.99348227,-11.55746564,-30.98290012
173,-48.57243299,-10.85911434,-11.35052582,-31.99780054
174,-48.70685447,-10.74312209,-11.16120865,-33.18803032
175,-48.86840024,-10.64533749,-10.99042641,-34.60796853
176,-49.0574039,-10.5656204,-10.83875039,-36.34351685
177,-49.27418793,-10.5038582,-10.70647086,-38.54018942
178,-49.5190305,-10.45996548,-10.59364314,-41.46330222
179,-49.79211879,-10.43388378,-10.5001213,-45.57299082
180,-50.09348355,-10.42558143,-10.42558143,-50.09348355
